[-0.33333333  1.1055416 ],[0.21296296 0.03070949],[0.15740741 1.32050802],
[-0.41666667  1.381927  ],[0.12962963 0.30709489],[0.07407407 1.59689342],
[0.0462963  0.58348029],[-0.03703704  0.85986569],[0.7037037  0.24567591],
[-0.12037037  1.13625109],[0.42592593 0.06141898],[0.62037037 0.52206131],
[0.34259259 0.33780438],[0.53703704 0.79844671],[-0.2037037   1.41263648],
[0.4537037  1.07483211],[0.06481481 0.15354744],[0.25925926 0.61418978],
[-0.01851852  0.42993284],[0.17592593 0.89057518],[-0.10185185  0.70631824],
[0.37037037 1.35121751],[0.09259259 1.16696057],[0.63888889 0.09212847],
[-0.18518519  0.98270364],[0.28703704 1.62760291],[0.00925926 1.44334597],
[0.55555556 0.36851387],[0.47222222 0.64489926],[-0.26851852  1.25908904],
[0.38888889 0.92128466],[-0.35185185  1.53547444],[0.30555556 1.19767006],
[0.85185185 0.12283796],[0.76851852 0.39922335],[0.27777778 0.18425693],
[0.22222222 1.47405546],[0.19444444 0.46064233],[0.68518519 0.67560875],
[0.11111111 0.73702773],[0.60185185 0.95199415],[0.02777778 1.01341313],
[0.51851852 1.22837955],[0. 0.],[0.49074074 0.21496642],
[-0.05555556  1.28979853],[0.43518519 1.50476495],[-0.08333333  0.2763854 ],
[0.40740741 0.49135182],[0.32407407 0.76773722],[-0.13888889  1.56618393],
[-0.16666667  0.5527708 ],[-0.25       0.8291562],[0.24074074 1.04412262],

