[0. 0.],[-0.16666667  0.5527708 ],[-0.33333333  1.1055416 ],
[0.03777778 0.00737028],[-0.12888889  0.56014108],[-0.29555556  1.11291187],
[0.07555556 0.01474055],[-0.09111111  0.56751135],[-0.25777778  1.12028215],
[0.11333333 0.02211083],[-0.05333333  0.57488163],[-0.22        1.12765243],
[0.15111111 0.02948111],[-0.01555556  0.58225191],[-0.18222222  1.13502271],
[0.18888889 0.03685139],[0.02222222 0.58962218],[-0.14444444  1.14239298],
[0.22666667 0.04422166],[0.06       0.59699246],[-0.10666667  1.14976326],
[0.26444444 0.05159194],[0.09777778 0.60436274],[-0.06888889  1.15713354],
[0.30222222 0.05896222],[0.13555556 0.61173302],[-0.03111111  1.16450382],
[0.34      0.0663325],[0.17333333 0.61910329],[0.00666667 1.17187409],
[0.37777778 0.07370277],[0.21111111 0.62647357],[0.04444444 1.17924437],
[0.41555556 0.08107305],[0.24888889 0.63384385],[0.08222222 1.18661465],
[0.45333333 0.08844333],[0.28666667 0.64121413],[0.12       1.19398492],
[0.49111111 0.09581361],[0.32444444 0.6485844 ],[0.15777778 1.2013552 ],
[0.52888889 0.10318388],[0.36222222 0.65595468],[0.19555556 1.20872548],
[0.56666667 0.11055416],[0.4        0.66332496],[0.23333333 1.21609576],
[0.60444444 0.11792444],[0.43777778 0.67069524],[0.27111111 1.22346603],
[0.64222222 0.12529471],[0.47555556 0.67806551],[0.30888889 1.23083631],
[0.68       0.13266499],[0.51333333 0.68543579],[0.34666667 1.23820659],
[0.71777778 0.14003527],[0.55111111 0.69280607],[0.38444444 1.24557687],
[0.75555556 0.14740555],[0.58888889 0.70017634],[0.42222222 1.25294714],
[0.79333333 0.15477582],[0.62666667 0.70754662],[0.46       1.26031742],
[0.83111111 0.1621461 ],[0.66444444 0.7149169 ],[0.49777778 1.2676877 ],
[0.86888889 0.16951638],[0.70222222 0.72228718],[0.53555556 1.27505797],
[0.90666667 0.17688666],[0.74       0.72965745],[0.57333333 1.28242825],
[-0.05555556  0.18425693],[-0.22222222  0.73702773],[-0.38888889  1.28979853],
[-0.01777778  0.19162721],[-0.18444444  0.74439801],[-0.35111111  1.29716881],
[0.02       0.19899749],[-0.14666667  0.75176829],[-0.31333333  1.30453908],
[0.05777778 0.20636776],[-0.10888889  0.75913856],[-0.27555556  1.31190936],
[0.09555556 0.21373804],[-0.07111111  0.76650884],[-0.23777778  1.31927964],
[0.13333333 0.22110832],[-0.03333333  0.77387912],[-0.2         1.32664992],
[0.17111111 0.2284786 ],[0.00444444 0.7812494 ],[-0.16222222  1.33402019],
[0.20888889 0.23584887],[0.04222222 0.78861967],[-0.12444444  1.34139047],
[0.24666667 0.24321915],[0.08       0.79598995],[-0.08666667  1.34876075],
[0.28444444 0.25058943],[0.11777778 0.80336023],[-0.04888889  1.35613103],
[0.32222222 0.25795971],[0.15555556 0.8107305 ],[-0.01111111  1.3635013 ],
[0.36       0.26532998],[0.19333333 0.81810078],[0.02666667 1.37087158],
[0.39777778 0.27270026],[0.23111111 0.82547106],[0.06444444 1.37824186],
[0.43555556 0.28007054],[0.26888889 0.83284134],[0.10222222 1.38561213],
[0.47333333 0.28744082],[0.30666667 0.84021161],[0.14       1.39298241],
[0.51111111 0.29481109],[0.34444444 0.84758189],[0.17777778 1.40035269],
[0.54888889 0.30218137],[0.38222222 0.85495217],[0.21555556 1.40772297],
[0.58666667 0.30955165],[0.42       0.86232245],[0.25333333 1.41509324],
[0.62444444 0.31692192],[0.45777778 0.86969272],[0.29111111 1.42246352],
[0.66222222 0.3242922 ],[0.49555556 0.877063  ],[0.32888889 1.4298338 ],
[0.7        0.33166248],[0.53333333 0.88443328],[0.36666667 1.43720408],
[0.73777778 0.33903276],[0.57111111 0.89180355],[0.40444444 1.44457435],
[0.77555556 0.34640303],[0.60888889 0.89917383],[0.44222222 1.45194463],
[0.81333333 0.35377331],[0.64666667 0.90654411],[0.48       1.45931491],
[0.85111111 0.36114359],[0.68444444 0.91391439],[0.51777778 1.46668519],
[-0.11111111  0.36851387],[-0.27777778  0.92128466],[-0.44444444  1.47405546],
[-0.07333333  0.37588414],[-0.24        0.92865494],[-0.40666667  1.48142574],
[-0.03555556  0.38325442],[-0.20222222  0.93602522],[-0.36888889  1.48879602],
[0.00222222 0.3906247 ],[-0.16444444  0.9433955 ],[-0.33111111  1.49616629],
[0.04       0.39799497],[-0.12666667  0.95076577],[-0.29333333  1.50353657],
[0.07777778 0.40536525],[-0.08888889  0.95813605],[-0.25555556  1.51090685],
[0.11555556 0.41273553],[-0.05111111  0.96550633],[-0.21777778  1.51827713],
[0.15333333 0.42010581],[-0.01333333  0.97287661],[-0.18       1.5256474],
[0.19111111 0.42747608],[0.02444444 0.98024688],[-0.14222222  1.53301768],
[0.22888889 0.43484636],[0.06222222 0.98761716],[-0.10444444  1.54038796],
[0.26666667 0.44221664],[0.1        0.99498744],[-0.06666667  1.54775824],
[0.30444444 0.44958692],[0.13777778 1.00235771],[-0.02888889  1.55512851],
[0.34222222 0.45695719],[0.17555556 1.00972799],[0.00888889 1.56249879],
