[0.43406593 0.14275144],[0.77747253 0.15702658],[-0.1978022   0.42825432],
[-0.07692308  0.59955605],[0.76923077 0.06661734],[0.13736264 0.35212022],
[0.53296703 0.36163698],[0.75549451 0.2046104 ],[0.02197802 0.81844159],
[0.36538462 0.83271673],[0.74725275 0.11420115],[-0.10714286  0.55673062],
[0.23626374 0.57100576],[0.57967033 0.5852809 ],[0.35714286 0.74230749],
[0. 0.],[0.12087912 0.17130173],[0.85989011 0.19509363],
[0.00549451 0.6376231 ],[0.22802198 0.48059652],[0.3489011  0.65189824],
[0.21978022 0.39018727],[0.44230769 0.23316069],[0.56318681 0.40446241],
[-0.29120879  0.84699188],[0.31868132 0.60907281],[0.21153846 0.29977802],
[0.55494505 0.31405317],[-0.29945055  0.75658263],[0.42582418 0.05234219],
[0.5467033  0.22364392],[-0.30769231  0.66617339],[-0.08516484  0.5091468 ],
[0.43131868 0.68996529],[-0.09340659  0.41873756],[0.65384615 0.53293871],
[0.6456044  0.44252946],[0.01373626 0.72803234],[0.53021978 0.04282543],
[0.87362637 0.05710058],[-0.10164835  0.32832831],[0.01923077 0.49963004],
[-0.10989011  0.23791907],[0.11263736 0.08089248],[0.63736264 0.35212022],
[0.12637363 0.80892483],[0.85164835 0.10468439],[0.11813187 0.71851558],
[-0.00274725  0.54721385],[0.34065934 0.561489  ],[0.46153846 0.73279073],
[0.33241758 0.47107975],[0.43956044 0.78037454],[0.21703297 0.07137572],
[-0.01923077  0.36639536],[0.2032967  0.20936878],[0.32417582 0.38067051],
[0.44505495 0.55197224],[0.66758242 0.39494565],[-0.18681319  0.83747512],
[0.19505495 0.11895953],[0.53846154 0.13323468],[-0.31593407  0.57576414],
[0.02747253 0.59003929],[-0.19505495  0.74706587],[0.42307692 0.59955605],
[0.01098901 0.4092208 ],[0.40659341 0.41873756],[0.62912088 0.26171097],
[0.62087912 0.17130173],[0.84340659 0.01427514],[-0.23351648  0.61383119],
[-0.01098901  0.45680461],[0.4532967  0.64238148],[0.10989011 0.62810634],
[0.23076923 0.79940807],[-0.00549451  0.2284023 ],[0.73351648 0.25219421],
[0.10164835 0.53769709],[0.22252747 0.70899882],[0.9478022  0.00475838],
[0.09340659 0.44728785],[0.31593407 0.29026126],[0.43681319 0.46156299],
[0.30769231 0.19985202],[0.6510989  0.21412716],[-0.2032967   0.65665662],
[0.54395604 0.77085778],[0.41483516 0.5091468 ],[0.53571429 0.68044853],
[0.29945055 0.10944277],[0.64285714 0.12371791],[0.42032967 0.2807445 ],
[-0.21153846  0.56624738],[-0.09065934  0.73754911],[0.29120879 0.01903353],
[0.63461538 0.03330867],[-0.21978022  0.47583813],[0.52747253 0.59003929],
[0.00274725 0.31881155],[0.51923077 0.49963004],[0.74175824 0.34260346],
[-0.11263736  0.78513292],[-0.12087912  0.69472368],[0.11538462 0.39970403],
[-0.01373626  0.13799306],[0.72527473 0.16178497],[-0.02197802  0.04758381],
[-0.00824176  0.77561616],[0.33516484 0.7898913 ],[-0.12912088  0.60431443],
[0.21428571 0.61858957],[0.08516484 0.3568786 ],[0.42857143 0.37115374],
[0.20604396 0.52818033],[-0.42582418  0.81368321],[0.31318681 0.83747512],
[0.09065934 0.1284763 ],[-0.1456044   0.42349594],[0.07692308 0.26646936],
[0.54120879 0.45204623],[0.1978022  0.43777108],[0.06868132 0.17606011],
[0.41208791 0.19033525],[-0.32142857  0.80416645],[-0.0989011   0.64713986],
[0.2967033  0.65665662],[0.51098901 0.4092208 ],[-0.34340659  0.85175026],
[0.3956044  0.00951676],[0.73901099 0.02379191],[-0.11538462  0.46632137],
[0.62362637 0.49011328],[0.0989011  0.21888554],[0.49450549 0.2284023 ],
[0.71703297 0.07137572],[0.83791209 0.24267745],[-0.35989011  0.67093177],
[-0.13736264  0.51390518],[-0.01648352  0.68520691],[0.32692308 0.69948206],
[0.08241758 0.03806705],[0.82142857 0.06185896],[-0.03296703  0.50438842],
[0.31043956 0.51866357],[0.18956044 0.34736184],[0.06043956 0.08565086],
[0.18131868 0.25695259],[0.40384615 0.09992601],[0.52472527 0.27122774],
[-0.32967033  0.7137572 ],[0.41758242 0.82795835],[0.28846154 0.56624738],
[0.63186813 0.58052252],[0.40934066 0.73754911],[0.17307692 0.16654335],
[0.29395604 0.33784508],[0.51648352 0.18081849],[-0.33791209  0.62334796],
[-0.21703297  0.79464968],[0.50824176 0.09040925],[-0.12362637  0.37591213],
[-0.13186813  0.28550288],[0.61538462 0.39970403],[-0.23901099  0.8422335 ],
[0.1043956  0.85650864],[0.48626374 0.13799306],[0.82967033 0.1522682 ],
[0.60714286 0.30929479],[-0.02472527  0.59479767],[0.09615385 0.7660994 ],
[0.5989011  0.21888554],[0.71978022 0.39018727],[-0.25549451  0.66141501],
[0.08791209 0.67569015],[0.20879121 0.84699188],[-0.04120879  0.41397918],
[0.3021978  0.42825432],[0.07967033 0.5852809 ],[0.4010989  0.64713986],
