[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.5074401  0.49722573],[0.0148802  0.99445145],[0.5148802  0.99445145],
[0.0223203  0.49167718],[0.5223203  0.49167718],[0.0297604 0.9889029],
[0.5297604 0.9889029],[0.0372005  0.48612863],[0.5372005  0.48612863],
[0.04464061 0.98335435],[0.54464061 0.98335435],[0.05208071 0.48058008],
[0.55208071 0.48058008],[0.05952081 0.9778058 ],[0.55952081 0.9778058 ],
[0.06696091 0.47503153],[0.56696091 0.47503153],[0.07440101 0.97225725],
[0.57440101 0.97225725],[0.08184111 0.46948298],[0.58184111 0.46948298],
[0.08928121 0.9667087 ],[0.58928121 0.9667087 ],[0.09672131 0.46393443],
[0.59672131 0.46393443],[0.10416141 0.96116015],[0.60416141 0.96116015],
[0.11160151 0.45838588],[0.61160151 0.45838588],[0.11904161 0.9556116 ],
[0.61904161 0.9556116 ],[0.12648172 0.45283733],[0.62648172 0.45283733],
[0.13392182 0.95006305],[0.63392182 0.95006305],[0.14136192 0.44728878],
[0.64136192 0.44728878],[0.14880202 0.9445145 ],[0.64880202 0.9445145 ],
[0.15624212 0.44174023],[0.65624212 0.44174023],[0.16368222 0.93896595],
[0.66368222 0.93896595],[0.17112232 0.43619168],[0.67112232 0.43619168],
[0.17856242 0.9334174 ],[0.67856242 0.9334174 ],[0.18600252 0.43064313],
[0.68600252 0.43064313],[0.19344262 0.92786885],[0.69344262 0.92786885],
[0.20088272 0.42509458],[0.70088272 0.42509458],[0.20832282 0.9223203 ],
[0.70832282 0.9223203 ],[0.21576293 0.41954603],[0.71576293 0.41954603],
[0.22320303 0.91677175],[0.72320303 0.91677175],[0.23064313 0.41399748],
[0.73064313 0.41399748],[0.23808323 0.9112232 ],[0.73808323 0.9112232 ],
[0.24552333 0.40844893],[0.74552333 0.40844893],[0.25296343 0.90567465],
[0.75296343 0.90567465],[0.26040353 0.40290038],[0.76040353 0.40290038],
[0.26784363 0.9001261 ],[0.76784363 0.9001261 ],[0.27528373 0.39735183],
[0.77528373 0.39735183],[0.28272383 0.89457755],[0.78272383 0.89457755],
[0.29016393 0.39180328],[0.79016393 0.39180328],[0.29760404 0.889029  ],
[0.79760404 0.889029  ],[0.30504414 0.38625473],[0.80504414 0.38625473],
[0.31248424 0.88348045],[0.81248424 0.88348045],[0.31992434 0.38070618],
[0.81992434 0.38070618],[0.32736444 0.8779319 ],[0.82736444 0.8779319 ],
[0.33480454 0.37515763],[0.83480454 0.37515763],[0.34224464 0.87238335],
[0.84224464 0.87238335],[0.34968474 0.36960908],[0.84968474 0.36960908],
[0.35712484 0.8668348 ],[0.85712484 0.8668348 ],[0.36456494 0.36406053],
[0.86456494 0.36406053],[0.37200504 0.86128625],[0.87200504 0.86128625],
[0.37944515 0.35851198],[0.87944515 0.35851198],[0.38688525 0.8557377 ],
[0.88688525 0.8557377 ],[0.39432535 0.35296343],[0.89432535 0.35296343],
[0.40176545 0.85018916],[0.90176545 0.85018916],[0.40920555 0.34741488],
[0.90920555 0.34741488],[0.41664565 0.84464061],[0.91664565 0.84464061],
[0.42408575 0.34186633],[0.92408575 0.34186633],[0.43152585 0.83909206],
[0.93152585 0.83909206],[0.43896595 0.33631778],[0.93896595 0.33631778],
[0.44640605 0.83354351],[0.94640605 0.83354351],[0.45384615 0.33076923],
[0.95384615 0.33076923],[0.46128625 0.82799496],[0.96128625 0.82799496],
[0.46872636 0.32522068],[0.96872636 0.32522068],[0.47616646 0.82244641],
[0.97616646 0.82244641],[0.48360656 0.31967213],[0.98360656 0.31967213],
[0.49104666 0.81689786],[0.99104666 0.81689786],[0.49848676 0.31412358],
[0.99848676 0.31412358],[0.50592686 0.81134931],[0.00592686 0.81134931],
[0.51336696 0.30857503],[0.01336696 0.30857503],[0.52080706 0.80580076],
[0.02080706 0.80580076],[0.52824716 0.30302648],[0.02824716 0.30302648],
[0.53568726 0.80025221],[0.03568726 0.80025221],[0.54312736 0.29747793],
[0.04312736 0.29747793],[0.55056747 0.79470366],[0.05056747 0.79470366],
[0.55800757 0.29192938],[0.05800757 0.29192938],[0.56544767 0.78915511],
[0.06544767 0.78915511],[0.57288777 0.28638083],[0.07288777 0.28638083],
[0.58032787 0.78360656],[0.08032787 0.78360656],[0.58776797 0.28083228],
[0.08776797 0.28083228],[0.59520807 0.77805801],[0.09520807 0.77805801],
[0.60264817 0.27528373],[0.10264817 0.27528373],[0.61008827 0.77250946],
[0.11008827 0.77250946],[0.61752837 0.26973518],[0.11752837 0.26973518],
[0.62496847 0.76696091],[0.12496847 0.76696091],[0.63240858 0.26418663],
[0.13240858 0.26418663],[0.63984868 0.76141236],[0.13984868 0.76141236],
[0.64728878 0.25863808],[0.14728878 0.25863808],[0.65472888 0.75586381],
[0.15472888 0.75586381],[0.66216898 0.25308953],[0.16216898 0.25308953],
[0.66960908 0.75031526],[0.16960908 0.75031526],[0.67704918 0.24754098],
[0.17704918 0.24754098],[0.68448928 0.74476671],[0.18448928 0.74476671],
[0.69192938 0.24199243],[0.19192938 0.24199243],[0.69936948 0.73921816],
[0.19936948 0.73921816],[0.70680958 0.23644388],[0.20680958 0.23644388],
[0.71424968 0.73366961],[0.21424968 0.73366961],[0.72168979 0.23089533],
[0.22168979 0.23089533],[0.72912989 0.72812106],[0.22912989 0.72812106],
[0.73656999 0.22534678],[0.23656999 0.22534678],[0.74401009 0.72257251],
[0.24401009 0.72257251],[0.75145019 0.21979823],[0.25145019 0.21979823],
[0.75889029 0.71702396],[0.25889029 0.71702396],[0.76633039 0.21424968],
[0.26633039 0.21424968],[0.77377049 0.71147541],[0.27377049 0.71147541],
[0.78121059 0.20870113],[0.28121059 0.20870113],[0.78865069 0.70592686],
[0.28865069 0.70592686],[0.79609079 0.20315259],[0.29609079 0.20315259],
[0.8035309  0.70037831],[0.3035309  0.70037831],[0.810971   0.19760404],
[0.310971   0.19760404],[0.8184111  0.69482976],[0.3184111  0.69482976],
[0.8258512  0.19205549],[0.3258512  0.19205549],[0.8332913  0.68928121],
[0.3332913  0.68928121],[0.8407314  0.18650694],[0.3407314  0.18650694],
[0.8481715  0.68373266],[0.3481715  0.68373266],[0.8556116  0.18095839],
[0.3556116  0.18095839],[0.8630517  0.67818411],[0.3630517  0.67818411],
[0.8704918  0.17540984],[0.3704918  0.17540984],[0.8779319  0.67263556],
[0.3779319  0.67263556],[0.88537201 0.16986129],[0.38537201 0.16986129],
[0.89281211 0.66708701],[0.39281211 0.66708701],[0.90025221 0.16431274],
[0.40025221 0.16431274],[0.90769231 0.66153846],[0.40769231 0.66153846],
[0.91513241 0.15876419],[0.41513241 0.15876419],[0.92257251 0.65598991],
[0.42257251 0.65598991],[0.93001261 0.15321564],[0.43001261 0.15321564],
[0.93745271 0.65044136],[0.43745271 0.65044136],[0.94489281 0.14766709],
