[0.10489510,0.82541184],[-0.0419580,2.29281067],[0.23426573,2.49916363],
[-0.1013986,1.16933344],[0.66783216,0.66491509],[-0.2132867,2.91186955],
[0.02797202,2.84308523],[-0.2727272,1.78839232],[0.87412587,0.32099349],
[-0.4195804,3.25579115],[0.70279720,0.94005237],[0.55594405,2.40745120],
[0.53146853,1.55911125],[0.08391608,1.97181717],[0.49650349,1.28397397],
[0.47202797,0.43563402],[-0.4090909,2.68258848],[0.02447552,0.84833994],
[0.43706293,0.16049674],[0.15384615,2.52209174],[0.56643356,1.83424853],
[0.23076923,0.50441834],[0.50699300,0.71077130],[-0.0524475,2.86601334],
[0.36013986,2.17817013],[0.05944055,1.12347722],[-0.0874125,2.59087606],
[-0.1118881,1.74253611],[0.30069930,1.05469290],[0.0,0.0],
[0.18881118,2.79722902],[-0.1468531,1.46739883],[0.43006993,2.72844470],
[-0.0174825,3.14115062],[0.82867132,0.61905888],[-0.0769230,2.01767339],
[0.35664335,0.18342485],[-0.1363636,0.89419616],[-0.2832167,2.36159499],
[0.48601398,1.85717664],[0.42657342,0.73369941],[0.83916083,0.04585621],
[-0.4545454,2.98065387],[0.69230769,1.51325504],[0.22027972,1.07762101],
[0.63286713,0.38977781],[0.52097902,2.13231392],[0.18531468,0.80248373],
[0.34965034,2.75137280],[0.46153846,1.00883669],[-0.0979020,3.16407872],
[0.31468531,2.47623552],[0.29020979,1.62789557],[-0.1573426,2.04060149],
[0.25524475,1.35275829],[0.19580419,0.22928106],[0.38461538,3.02651008],
[0.04895104,1.69667989],[0.32517482,1.90303285],[-0.0104895,0.57320266],
[0.75874125,0.06878432],[-0.1223776,2.31573877],[-0.2937062,2.93479766],
[0.11888111,2.24695445],[-0.1818181,1.19226154],[-0.3286713,2.65966038],
[0.79370629,0.34392160],[0.64685314,1.81132043],[0.62237762,0.96298048],
[-0.2587412,3.20993494],[0.17482517,1.37568640],[0.58741258,0.68784320],
[-0.3181818,2.08645771],[0.11538461,0.25220917],[0.30419580,3.04943819],
[0.24475524,1.92596096],[0.65734265,1.23811776],[0.51048951,2.70551659],
[0.59790209,0.11464053],[0.03846153,2.26988256],[0.45104895,1.58203936],
[0.15034965,0.52734645],[0.00349650,1.99474528],[-0.0209790,1.14640533],
[0.39160839,0.45856213],[0.27972027,2.20109824],[-0.0559440,0.87126805],
[0.10839160,2.82015712],[-0.3391608,3.23286304],[0.07342657,2.54501984],
[0.91958041,0.02292810],[0.01398601,1.42154261],[-0.1328671,2.88894144],
[-0.0454545,0.29806538],[0.14335664,3.09529440],[-0.1923076,1.76546421],
[0.57692307,1.26104587],[0.51748251,0.13756864],[-0.3636363,2.38452309],
[0.78321678,0.91712426],[0.31118881,0.48149024],[0.61188811,1.53618315],
[0.27622377,0.20635296],[0.46503496,3.00358198],[0.44055944,2.15524203],
[0.55244755,0.41270592],[0.40559440,1.88010475],[-0.0069930,2.56794795],
[0.38111888,1.03176480],[-0.0664335,1.44447072],[0.34615384,0.75662752],
[0.06293706,3.11822251],[0.47552447,2.43037931],[0.13986013,1.10054912],
[0.41608391,1.30690208],[0.26923076,2.77430091],[-0.0314685,1.71960800],
[-0.1783216,3.18700683],[-0.2027972,2.33866688],[0.20979020,1.65082368],
[-0.0909090,0.59613077],[-0.2377622,2.06352960],[-0.2482517,2.63673227],
[0.73776223,1.21518965],[0.71328671,0.36684970],[-0.1678321,2.61380416],
[0.26573426,0.77955562],[0.67832167,0.09171242],[-0.2272727,1.49032693],
[-0.3741258,2.95772576],[0.39510489,2.45330741],[0.33566433,1.32983019],
[0.74825174,0.64198698],[0.60139860,2.10938581],[0.12937062,1.67375179],
[0.54195804,0.98590858],[0.09440559,1.39861451],[0.06993006,0.55027456],
[0.37062937,1.60496747],[0.03496503,0.27513728],[0.22377622,3.07236630],
[0.19930069,2.22402635],[0.16433566,1.94888907],
