[-0.08357771  0.93265621],[0.19061584 0.40383052],[0.02492669 3.2306442 ],
[0.08504399 0.02884504],[-0.21554252  2.9229638 ],[-0.32111437  2.54797831],
[0.19354839 2.32683302],[0.05865103 2.39413811],[-0.04692082  2.01915262],
[0.46774194 1.79800734],[0.17008798 0.05769007],[-0.09530792  3.076804  ],
[-0.33577713  2.7691236 ],[0.22727273 1.49032694],[-0.01319648  1.18264654],
[0.12170088 1.11534145],[-0.11876833  0.80766105],[-0.06158358  2.24029791],
[0.39589443 0.58651576],[0.15542522 0.27883536],[-0.01026393  3.10564904],
[0.50439883 2.88450375],[-0.13343109  1.02880634],[0.26392962 2.57682335],
[0.02346041 2.26914295],[-0.08211144  1.89415746],[0.03519062 0.12499516],
[0.43255132 1.67301217],[-0.26539589  3.01911392],[0.19208211 1.36533177],
[0.24926686 2.79796864],[-0.0483871   1.05765137],[0.14369501 2.42298315],
[-0.09677419  2.11530275],[0.36070381 0.4615206 ],[0.1202346 0.1538402],
[0.17741935 1.58647706],[0.07184751 1.21149157],[0.46920821 2.75950859],
[0.228739   2.45182819],[0.34604106 0.68266589],[0.10557185 0.37498549],
[-0.0601173   3.20179916],[0. 0.],[-0.30058651  2.89411876],
[0.45454545 2.98065387],[0.21407625 2.67297347],[-0.02639296  2.36529307],
[0.1085044  2.29798799],[-0.13196481  1.99030759],[0.38269795 1.7691623 ],
[0.14222874 1.4614819 ],[-0.09824047  1.1538015 ],[0.03665689 1.08649641],
[0.6568915  1.24033661],[0.09384164 2.51913327],[0.41642229 0.93265621],
[-0.14662757  2.21145287],[0.31085044 0.55767072],[0.07038123 0.24999032],
[0.12756598 1.68262719],[0.58504399 0.02884504],[0.28445748 2.9229638 ],
[0.41935484 2.85565871],[0.17888563 2.54797831],[0.07331378 2.17299282],
[0.05571848 0.47113561],[0.45307918 2.01915262],[0.34750733 1.64416714],
[0.21260997 1.71147222],[0.40469208 3.076804  ],[0.10703812 1.33648674],
[0.16422287 2.7691236 ],[0.29912023 2.70181851],[0.62170088 1.11534145],
[0.38123167 0.80766105],[0.43841642 2.24029791],[0.14076246 0.49998065],
[0.27565982 0.43267556],[0.33284457 1.86531242],[0.09237537 1.55763202],
[0.48973607 3.10564904],[0.38416422 2.73066355],[0.36656891 1.02880634],
[0.50146628 0.96150125],[0.26099707 0.65382085],[0.65835777 2.20183786],
[0.02052786 0.34614045],[0.41788856 1.89415746],[0.53519062 0.12499516],
[0.36950147 2.95180884],[0.12903226 2.64412844],[0.58651026 0.99034629],
[0.40322581 2.11530275],[0.53812317 2.04799766],[0.29765396 1.74031726],
[0.05718475 1.43263686],[0.57184751 1.21149157],[0.46627566 0.83650609],
[0.3313783  0.90381117],[0.22580645 0.52882569],[0.2829912  1.96146255],
[-0.01466276  0.22114529],[0.84604106 0.68266589],[0.60557185 0.37498549],
[0.74046921 0.3076804 ],[0.4398827  3.20179916],[0.5 0. ],
[0.33431085 2.82681367],[0.6085044  2.29798799],[0.36803519 1.99030759],
[0.50293255 1.9230025 ],[0.26246334 1.6153221 ],[0.8255132  0.33652544],
[0.31964809 3.04795896],[0.64222874 1.4614819 ],[0.7771261  1.39417681],
[0.53665689 1.08649641],[0.59384164 2.51913327],[0.43108504 0.71151092],
[0.29618768 0.77881601],[0.48826979 2.14414779],[0.81085044 0.55767072],
[0.57038123 0.24999032],[0.70527859 0.18268524],[0.53958944 3.00949891],
[0.52199413 1.3076417 ],[0.57331378 2.17299282],[0.69061584 0.40383052],
[0.45014663 0.09615012],[-0.36070381  2.81719866],[0.60703812 1.33648674],
[0.74193548 1.26918165],[0.55865103 2.39413811],[0.77565982 0.43267556],
[0.67008798 0.05769007],[0.72727273 1.49032694],[0.48680352 1.18264654],
[0.76099707 0.65382085],[0.89589443 0.58651576],[0.65542522 0.27883536],
[0.52346041 2.26914295],[-0.41055718  2.91334879],[0.69208211 1.36533177],
[0.4516129  1.05765137],[0.72580645 0.52882569],[0.86070381 0.4615206 ],
[0.6202346 0.1538402],[0.67741935 1.58647706],[-0.34017595  3.16333911],
[-0.17155425  2.25952794],[-0.37536657  3.03834395],[-0.20674487  2.13453277],
[-0.39002933  3.25948924],[-0.25513196  3.19218415],[-0.22140762  2.35567806],
[-0.17008798  3.22102919],[-0.18768328  1.51917197],[-0.05278592  1.45186689],
[-0.42521994  3.13449407],[-0.29032258  3.06718899],[0.08944282 2.91334879],
[-0.15102639  2.60566839],[-0.01612903  2.5383633 ],[-0.25659824  2.2306829 ],
[0.25806452 2.00953761],[-0.03958944  0.26922035],[0.01759531 1.70185721],
[-0.08797654  1.32687172],[-0.271261    2.45182819],[0.18621701 0.79804604],
[-0.0542522   0.49036564],[-0.3255132   2.94219382],[0.29472141 3.09603402],
[0.0542522  2.78835362],[-0.18621701  2.48067322],[-0.05131965  2.41336814],
[-0.29178886  2.10568774],[0.2228739  1.88454245],[-0.01759531  1.57686205],
[0.03958944 3.00949891],[-0.12316716  1.20187656],[-0.0659824   2.63451342],
[-0.30645161  2.32683302],[0.15102639 0.67305087],[-0.03225806  1.79800734],
[0.1026393  1.73070225],[-0.13782991  1.42302185],[0.25953079 2.97103886],
[0.01906158 2.66335846],[0.03079179 0.51921067],[0.18768328 1.75954729],
[0.24486804 3.19218415],[0.13929619 2.81719866],[0.00439883 2.88450375],
[-0.10117302  2.50951826],[0.27859238 2.35567806],[-0.01906158  0.6153608 ],
[0.11583578 0.54805571],[0.41348974 2.28837297],[0.17302053 1.98069257],
[-0.06744868  1.67301217],[0.06744868 1.60570709],[-0.17302053  1.29802669],
[0.39002933 0.01923002],[-0.11583578  2.73066355],[0.34164223 1.0768814 ],
[0.20674487 1.14418649],[0.10117302 0.769201  ],[-0.00439883  0.39421551],
[0.37536657 0.24037531],[0.20967742 3.06718899],[-0.03079179  2.75950859],
[0.42668622 1.10572644],[-0.13636364  2.3845231 ],[0.48387097 2.5383633 ],
[0.24340176 2.2306829 ],[0.37829912 2.16337781],[0.13782991 1.85569741],
[-0.1026393   1.54801701],[0.65249267 1.63455212],[0.41202346 1.32687172],
[0.1568915  1.24033661],[0.17155425 1.01919132],[0.30645161 0.95188624],
[0.0659824  0.64420584],[0.12316716 2.0768427 ],[0.58064516 0.42306055],
[0.41495601 3.24987422],[0.34017595 0.11538015],[0.1744868  2.94219382],
[0.05131965 0.86535112],[0.44868035 2.41336814],[0.20821114 2.10568774],
[0.3431085  2.03838265],[0.15982405 3.16333911],[0.61730205 1.50955696],
[-0.08064516  2.85565871],[0.37683284 1.20187656],[0.4340176  2.63451342],
[0.13636364 0.89419616],[0.32844575 2.25952794],[0.08797654 1.95184754],
[0.54545455 0.29806539],[-0.15249267  1.64416714],[0.36217009 1.42302185],
[0.25659824 1.04803636],[0.01612903 0.74035596],[0.53079179 0.51921067],
[0.29032258 0.21153027],[0.12463343 3.03834395],[0.44721408 1.45186689],
[0.58211144 1.3845618 ],[0.39882698 2.50951826],[0.29325513 2.13453277],
[0.85630499 0.85573611],[0.15835777 2.20183786],[0.61583578 0.54805571],
[0.05278592 1.82685237],[0.10997067 3.25948924],[0.67302053 1.98069257],
[0.56744868 1.60570709],[0.32697947 1.29802669],[0.08651026 0.99034629],
[0.22140762 0.9230412 ],[0.60117302 0.769201  ],[0.49560117 0.39421551],
[0.32991202 3.22102919],[0.25513196 0.08653511],[0.31231672 1.51917197],
[0.36363636 2.3845231 ],[0.82111437 0.73074095],[0.24046921 0.3076804 ],
[0.63782991 1.85569741],[0.3973607  1.54801701],[0.53225806 1.48071192],
[0.29178886 1.17303152],[0.34897361 2.60566839],[0.80645161 0.95188624],
[0.5659824  0.64420584],[0.62316716 2.0768427 ],[0.46041056 0.26922035],
[0.3255132  0.33652544],[0.51759531 1.70185721],[0.2771261  1.39417681],
[0.56891496 2.56720834],[0.55131965 0.86535112],[0.68621701 0.79804604],
[0.4457478  0.49036564],[0.20527859 0.18268524],[0.6026393  1.73070225],
[0.5542522  2.78835362],[0.31378299 2.48067322],[0.63636364 0.89419616],
[0.771261   0.82689107],[0.58797654 1.95184754],[0.48240469 1.57686205],
[0.24193548 1.26918165],[0.75659824 1.04803636],[0.51612903 0.74035596],
[0.65102639 0.67305087],[0.41055718 0.36537047],[0.79032258 0.21153027],
[0.92521994 0.14422519],[0.51906158 2.66335846],[0.55278592 1.82685237],
[0.68768328 1.75954729],[0.72140762 0.9230412 ],[0.48093842 0.6153608 ],
[-0.21260997  1.56724704],[0.75513196 0.08653511],[0.89002933 0.01923002],
[0.70674487 1.14418649],[0.87536657 0.24037531],[-0.17595308  2.65374345],
[0.79178886 1.17303152],[0.67155425 1.01919132],[0.84017595 0.11538015],
[-0.17741935  1.6922422 ],[-0.1202346   3.12487906],[-0.22580645  2.74989357],
[-0.00879765  0.78843102],[-0.19208211  1.91338749],[0.91055718 0.36537047],
[-0.14076246  2.77873861],[-0.02346041  1.00957631],[-0.15542522  2.9998839 ],
[-0.39589443  2.6922035 ],[-0.26099707  2.62489841],[0.01319648 2.09607272],
[-0.22727273  1.78839232],[-0.27565982  2.8460437 ],[-0.05865103  0.88458115],
[-0.24193548  2.00953761],[0.04985337 3.18256914],[-0.19061584  2.87488874],
[-0.29618768  2.49990325],[-0.02199413  1.97107756],[-0.20527859  3.09603402],
[-0.07038123  3.02872894],[-0.31085044  2.72104854],[0.01173021 1.13457147],
[0.06891496 2.56720834],[-0.09384164  0.75958599],[-0.03665689  2.19222285],
[-0.2771261   1.88454245],[-0.14222874  1.81723736],[0.18035191 0.2307603 ],
[0.01466276 3.05757397],[-0.00293255  1.35571676],[0.13196481 1.28841167],
[-0.1085044   0.98073127],[0.0483871  2.22106789],[0.16568915 0.45190559],
[0.0601173 0.0769201],[-0.24046921  2.97103886],[-0.10557185  2.90373377],
[-0.34604106  2.59605337],[0.2170088  1.31725671],[0.27419355 2.74989357],
[0.1686217  2.37490809],[0.03372434 2.44221317],[-0.07184751  2.06722769],
[0.44281525 1.8460824 ],[0.14516129 0.10576514],[0.20234604 1.538402  ],
[-0.03812317  1.2307216 ],[0.09677419 1.16341651],[-0.08651026  2.28837297],
[0.37096774 0.63459082],[0.13049853 0.32691042],[-0.03519062  3.1537241 ],
[0.47947214 2.93257881],[-0.15835777  1.0768814 ],[0.23900293 2.62489841],
[-1.46627566e-03  2.31721801e+00],[0.13343109 2.24991292],[-0.10703812  1.94223252],
[0.01026393 0.17307022],[0.40762463 1.72108724],[0.16715543 1.41340684],
[0.22434018 2.8460437 ],[0.06158358 1.03842135],[-0.07331378  1.10572644],
[0.11876833 2.47105821],[-0.12170088  2.16337781],[0.20087977 0.57690075],
[0.33577713 0.50959566],[0.09530792 0.20191526],[0.28739003 1.56724704],
[0.15249267 1.63455212],[0.04692082 1.25956664],[0.44428152 2.80758365],
[0.20381232 2.49990325],[0.32111437 0.73074095],[0.08064516 0.42306055],
[0.21554252 0.35575546],[-0.08504399  3.24987422],[0.37243402 1.59609207],
[0.23753666 1.66339716],[0.42961877 3.02872894],[0.18914956 2.72104854],
[0.32404692 2.65374345],[0.64662757 1.06726639],[0.08357771 2.34606305],
[0.40615836 0.75958599],[-0.1568915   2.03838265],[0.46334311 2.19222285],
[0.30058651 0.3846005 ],[0.59824047 2.12491776],[0.35777126 1.81723736],
