[0.71012931 0.29365559],[-0.27586207  0.96364649],[0.50377155 0.9308597 ],
[0.19719828 0.6927991 ],[0.03071121 1.20170709],[-0.09428879  1.03634763],
[0.87176724 0.26514534],[-0.03286638  0.13257267],[0.70528017 0.77405332],
[-0.19935345  0.64148065],[0.2737069  0.37063327],[0.58028017 0.60869386],
[-0.36584052  1.15038864],[0.10721983 0.87954125],[0.23221983 1.04490071],
[0.00215517 0.48467427],[0.47521552 0.21382688],[0.78178879 0.45188748],
[0.30872845 0.72273487],[0.61530172 0.96079547],[0.67672414 0.0570205 ],
[0.0387931  0.29080456],[-0.12769397  0.79971255],[-0.29418103  1.30862053],
[0.07381466 0.64290616],[0.546875   0.37205878],[0.38038793 0.88096676],
[0.015625   1.28153579],[0.74838362 0.2152524 ],[0.15032328 0.32074033],
[0.21713362 1.12472941],[-0.21443966  0.72130936],[-0.38092672  1.23021734],
[0.46012931 0.29365559],[-0.1794181   1.07341096],[0.29364224 0.80256357],
[-0.08459052  0.24091162],[0.49515086 0.64575719],[-0.01778017  1.04490071],
[0.2887931 1.2829613],[-0.14278017  0.87954125],[0.65678879 0.61724694],
[0.22521552 0.21382688],[0.49030172 1.12615492],[0.53178879 0.45188748],
[0.05872845 0.72273487],[0.36530172 0.96079547],[-0.10775862  1.23164285],
[0.42672414 0.0570205 ],[0.73329741 0.2950811 ],[0.26023707 0.56592849],
[0.56681034 0.80398908],[0.13523707 0.40056903],[0.20204741 1.20455811],
[0.40032328 1.31289707],[0.93480603 0.13827472],[0.03017241 0.00570205],
[0.33674569 0.24376265],[-0.34267241  1.15181415],[-0.14116379  0.99500777],
[-0.09967672  0.32074033],[0.33189655 0.72416038],[0.16540948 1.23306836],
[0.8049569  0.45331299],[0.53340517 0.567354  ],[0.1018319  0.16393394],
[0.64170259 0.69707564],[0.47521552 1.20598363],[0.04364224 0.80256357],
[0.41163793 0.13684921],[0.24515086 0.64575719],[0.71821121 0.3749098 ],
[0.07866379 1.15466517],[0.55172414 0.88381779],[0.24030172 1.12615492],
[-0.35775862  1.23164285],[0.375      0.16535946],[0.17672414 0.0570205 ],
[0.01023707 0.56592849],[-0.15625     1.07483647],[0.31681034 0.80398908],
[0.15032328 1.31289707],[-0.28125     0.90947701],[-0.11476293  0.40056903],
[0.68480603 0.13827472],[0.21174569 0.4091221 ],[0.04525862 0.91803009],
[0.51831897 0.6471827 ],[0.3518319  1.15609069],[-0.07974138  0.75267063],
[0.39331897 0.48182325],[0.08674569 0.24376265],[0.28825431 0.08695627],
[0.59482759 0.32501686],[-0.08459052  1.23306836],[0.1169181  1.07626198],
[0.58997845 0.8054146 ],[0.05334052 0.00712756],[-0.11314655  0.51603555],
[0.35991379 0.24518816],[0.19342672 0.75409614],[0.42672414 1.04917724],
[-0.17133621  1.15466517],[0.56142241 0.08838178],[0.66971983 0.21810342],
[0.86799569 0.32644238],[0.03017241 0.99785879],[0.50323276 0.72701141],
[0.33674569 1.23591939],[0.70474138 0.57020502],[0.53825431 1.07911301],
[-0.40625     1.07483647],[-0.09967672  1.31289707],[-0.03825431  0.4091221 ],
[-0.20474138  0.91803009],[0.26831897 0.6471827 ],[0.1018319  1.15609069],
[0.57489224 0.8852433 ],[0.46982759 0.49037632],[0.03825431 0.08695627],
[0.30334052 0.9992843 ],[-0.12823276  0.59586425],[0.34482759 0.32501686],
[-0.29471983  1.10477223],[0.17834052 0.83392485],[0.07327586 0.43905787],
[0.54633621 0.16821048],[0.37984914 0.67711847],[0.10991379 0.24518816],
[0.375     1.1575162],[-0.05657328  0.75409614],[0.31142241 0.08838178],
[0.14493534 0.59728976],[0.61799569 0.32644238],[-0.21982759  0.99785879],
[0.08674569 1.23591939],[0.81950431 0.16963599],[0.45474138 0.57020502],
[0.22144397 0.27512392],[0.28825431 1.07911301],[0.21982759 0.49037632],
