[0.94281046 1.1080317 ],[0.11601307 0.83997815],[0.58823529 0.50606662],
[0.4869281  0.77180936],[0.48366013 1.37724066],[0.95588235 1.04332912],
[0.85457516 1.30907187],[0.78431373 0.36048581],[0.29084967 1.27094356],
[0.79738562 0.29578323],[0.69607843 0.56152597],[0.69281046 1.16695727],
[0.13235294 0.52339767],[0.60457516 0.18948613],[0.02777778 1.39457171],
[0.5        1.06066017],[0.14542484 0.45869509],[0.04411765 0.72443783],
[0.14215686 1.06412638],[0.51633987 0.39052629],[0.04084967 1.32986913],
[0.5130719  0.99595759],[0.41176471 1.26170034],[0.05718954 0.65973525],
[0.52941176 0.32582371],[0.05392157 1.26516654],[0.91830065 0.28654   ],
[0.4248366  1.19699775],[0.34150327 0.31311428],[0.70915033 0.85037678],
[0.35457516 0.2484117 ],[0.7254902  0.18024291],[0.72222222 0.7856742 ],
[0.62091503 1.05141695],[0.71895425 1.3911055 ],[0.26633987 0.44945186],
[0.73856209 0.11554032],[0.2630719  1.05488316],[0.63398693 0.98671436],
[0.1748366  0.07741202],[0.07352941 0.34315476],[0.07026144 0.94858606],
[0.44117647 0.88041727],[0.93137255 0.57539081],[0.08660131 0.27845218],
[0.08333333 0.88388348],[0.84313725 0.77643098],[0.28267974 0.13287137],
[0.27941176 0.73830267],[0.75163399 0.40439113],[0.6503268  0.67013388],
[0.29575163 0.06816879],[0.64705882 1.27556517],[0.29248366 0.67360009],
[0.19117647 0.93934283],[0.66339869 0.6054313 ],[0.30882353 0.00346621],
[0.66013072 1.21086259],[0.20424837 0.87464025],[0.67647059 0.54072872],
[0.0996732  0.56730299],[0.96078431 0.19410774],[0.85947712 0.45985049],
[0.85620915 1.06528178],[0.01143791 0.76834315],[0.50163399 0.4633167 ],
[0.97385621 0.12940516],[0.00816993 1.37377445],[0.87254902 0.39514791],
[0.86928105 1.0005792 ],[0.0245098  0.70364057],[0.76797386 1.26632195],
[0.02124183 1.30907187],[0.88562092 0.33044533],[0.78104575 1.20161937],
[0.67973856 0.28885081],[0.32189542 0.29231702],[0.22058824 0.55805976],
[0.21732026 1.16349106],[0.58823529 1.09532227],[0.23366013 0.49335718],
[0.23039216 1.09878848],[0.12908497 1.36453122],[0.60130719 1.03061969],
[0.88888889 0.07856742],[0.53104575 0.08203363],[0.42973856 0.34777637],
[0.90196078 0.01386484],[0.42647059 0.95320767],[0.89869281 0.61929614],
[0.07189542 0.35124258],[0.79738562 0.88503888],[0.44281046 0.28307379],
[0.43954248 0.88850509],[0.33823529 1.15424783],[0.81045752 0.8203363 ],
[0.35130719 1.08954525],[0.25      0.1767767],[0.24673203 0.78220799],
[0.16176471 0.37781686],[0.65196078 0.0727904 ],[0.15849673 0.98324815],
[0.64869281 0.6782217 ],[0.52941176 0.91507936],[0.91830065 0.87579565],
[0.17156863 0.91854557],[0.82679739 0.50375581],[0.         0.23570226],
[0.37091503 0.16753347],[0.46895425 0.50722202],[0.36764706 0.77296477],
[0.83986928 0.43905323],[0.0130719  0.17099968],[0.36437908 1.37839606],
[0.73856209 0.70479597],[0.83660131 1.04448453],[0.73529412 1.31022727],
[0.38071895 0.70826218],[0.74836601 1.24552469],[0.67810458 0.29693863],
[0.57679739 0.56268138],[0.57352941 1.16811267],[0.94771242 0.49451259],
[0.94444444 1.09994388],[0.58986928 0.4979788 ],[0.09640523 1.40843655],
[0.95751634 1.0352413 ],[0.02614379 0.45985049],[0.49836601 1.30445025],
[0.39705882 0.3916817 ],[0.8872549  0.08665524],[0.39379085 0.99711299],
[0.29248366 1.26285574],[0.41013072 0.32697912],[0.30882353 0.59272186],
[0.30555556 1.19815316],[0.67647059 1.12998437],[0.31862745 1.13345058],
[0.60620915 0.18139831],[0.97712418 0.11322952],[0.50163399 1.05257235],
[0.97385621 0.71866081],[0.14705882 0.45060726],[0.61928105 0.11669573],
[0.14379085 1.05603856],[0.51797386 0.38243847],[0.99019608 0.04852694],
[0.51470588 0.98786977],[0.9869281  0.65395823],[0.16013072 0.38590468],
[0.88562092 0.91970098],[0.98366013 1.25938953],[0.52777778 0.92316719],
[0.32189542 0.88157267],[0.72712418 0.17215508],[0.33496732 0.81687009],
[0.7369281 0.7128838],[0.16339869 0.13402678],[0.53104575 0.67128928],
[0.17647059 0.06932419],[0.0751634  0.33506694],[0.17320261 0.67475549],
[0.54738562 0.0011554 ],[0.89869281 1.20855179],[0.07189542 0.94049824],
[0.64542484 0.34084395],[0.54411765 0.6065867 ],[0.18954248 0.00462161],
[0.54084967 1.212018  ],[0.91503268 0.53841791],[0.08823529 0.27036436],
[0.91176471 1.1438492 ],[0.08496732 0.87579565],[0.55718954 0.54188412],
[0.45588235 0.80762686],[0.45261438 1.41305816],[0.82352941 1.34488937],
[0.74019608 0.46100589],[0.75326797 0.39630331],[0.64869281 1.26747735],
[0.76633987 0.33160073],[0.66503268 0.59734347],[0.66176471 1.20277477],
[0.10130719 0.55921517],[0.9624183  0.18601992],[0.46895425 1.09647767],
[0.11437908 0.49451259],[0.0130719  0.76025533],[0.11111111 1.09994388],
[0.48529412 0.42634379],[0.9754902  0.12131734],[0.00980392 1.36568663],
[0.48202614 1.03177509],[0.38071895 1.29751784],[0.02287582 1.30098405],
[0.31045752 0.34893178],[0.78267974 0.01502024],[0.67810458 0.88619428],
[0.32352941 0.2842292 ],[0.22222222 0.54997194],[0.32026144 0.88966049],
[0.69444444 0.21606041],[0.69117647 0.8214917 ],[0.58986928 1.08723445],
[0.23529412 0.48526936],[0.70751634 0.15135782],[0.23202614 1.09070066],
[0.70424837 0.75678912],[0.60294118 1.02253186],[0.8872549  0.67591089],
[0.04248366 0.37897226],[0.53267974 0.07394581],[0.03921569 0.98440356],
[0.90359477 0.00577702],[0.41013072 0.91623477],[0.9003268  0.61120831],
[0.05555556 0.31426968],[0.05228758 0.91970098],[0.91339869 0.54650573],
[0.8120915  0.81224848],[0.25163399 0.16868887],[0.24836601 0.77412017],
[0.72058824 0.44020863],[0.61928105 0.70595138],[0.26470588 0.10398629],
[0.61601307 1.31138267],[0.26143791 0.70941759],[0.9869281  1.24321388],
[0.16013072 0.97516033],[0.63235294 0.6412488 ],[0.27777778 0.03928371],
[0.62908497 1.24668009],[0.45751634 0.56383678],[0.92973856 0.22992524],
[0.82843137 0.49566799],[0.8251634  1.10109929],[0.47058824 0.4991342 ],
[0.94281046 0.16522266],[0.84150327 0.43096541],[0.83823529 1.0363967 ],
[0.7369281  1.30213945],[0.38235294 0.70017436],[0.85457516 0.36626283],
[0.37908497 1.30560566],[0.75       1.23743687],[0.17320261 1.26401114],
[0.64542484 0.93009961],[0.29084967 0.32813452],[0.18954248 0.59387726],
[0.18627451 1.19930856],[0.55718954 1.13113977],[0.20261438 0.52917468],
[0.19934641 1.13460598],[0.09803922 1.40034872],[0.95915033 1.02715348],
[0.02777778 0.45176267],[0.5        0.11785113],[0.39869281 0.38359387],
[0.87091503 0.04968234],[0.39542484 0.98902517],[0.86764706 0.65511364],
[0.04084967 0.38706008],[0.76633987 0.92085638],[0.41176471 0.31889129],
[0.40849673 0.92432259],[0.30718954 1.19006533],[0.77941176 0.8561538 ],
[0.21895425 0.2125942 ],[0.21568627 0.81802549],[0.9754902  0.71057299],
[0.13071895 0.41363436],[0.62091503 0.1086079 ],[0.97222222 1.31600429],
[0.12745098 1.01906566],[0.61764706 0.7140392 ],[0.99183007 0.04043911],
[0.98856209 0.64587041],[0.98529412 1.25130171],[0.14052288 0.95436307],
[0.42810458 0.00231081],[0.07026144 0.00577702],[0.79575163 0.53957331],
[0.79248366 1.14500461],[0.33986928 0.20335097],[0.4379085  0.54303952],
[0.33660131 0.80878227],[0.70751634 0.74061348],[0.70424837 1.34604477],
[0.3496732  0.74407968],[0.71732026 1.28134219],[0.64705882 0.33275613],
[0.54575163 0.59849888],[0.54248366 1.20393017],[0.91666667 0.53033009],
[0.91339869 1.13576138],[0.55882353 0.5337963 ],[0.45424837 1.40497034],
[0.92647059 1.0710588 ],[0.36601307 0.4274992 ],[0.85620915 0.12247274],
[0.3627451  1.03293049],[0.26143791 1.29867324],[0.27777778 0.62853936],
[0.76797386 0.32351291],[0.2745098  1.23397066],[0.2875817  1.16926808],
[0.5751634  0.21721581],[0.57189542 0.8226471 ],[0.47058824 1.08838985],
[0.94281046 0.75447831],[0.11601307 0.48642476],[0.58823529 0.15251323],
[0.93954248 1.35990961],[0.1127451  1.09185606],[0.4869281  0.41825597],
[0.58496732 0.75794452],[0.48366013 1.02368727],[0.38235294 1.28943001],
[0.12908497 0.42172218],[0.95588235 0.68977573],[0.85457516 0.95551848],
[0.95261438 1.29520703],[0.49673203 0.95898469],[0.78431373 0.00693242],
[0.29084967 0.91739017],[0.69607843 0.20797258],[0.79411765 0.54766113],
[0.69281046 0.81340388],[0.33823529 0.21143879],[0.70588235 0.7487013 ],
[0.13235294 0.16984428],[0.5        0.70710678],[0.14542484 0.10514169],
[0.14215686 0.71057299],[0.51633987 0.0369729 ],[0.86764706 1.24436929],
[0.04084967 0.97631574],[0.5130719 0.6424042],[0.15849673 0.04043911],
[0.50980392 1.2478355 ],[0.05718954 0.30618186],[0.05392157 0.91161315],
[0.52614379 0.57770162],[0.4248366  0.84344436],[0.70915033 0.49682339],
[0.72222222 0.43212081],[0.71895425 1.03755211],[0.26633987 0.09589847],
[0.61764706 1.30329485],[0.2630719  0.70132977],[0.73529412 0.36741823],
[0.25980392 1.30676106],[0.63398693 0.63316097],[0.63071895 1.23859227],
[0.07026144 0.59503267],[0.93137255 0.22183742],[0.4379085  1.13229517],
[0.08333333 0.53033009],[0.08006536 1.13576138],[0.94444444 0.15713484],
[0.84313725 0.42287758],[0.45098039 1.06759259],[0.3496732  1.33333534],
[0.27941176 0.38474928],[0.75163399 0.05083774],[0.64705882 0.92201178],
[0.29248366 0.3200467 ],[0.19117647 0.58578944],[0.28921569 0.92547799],
[0.66339869 0.25187791],[0.1879085  1.19122074],[0.66013072 0.8573092 ],
[0.55882353 1.12305195],[0.20424837 0.52108686],[0.67647059 0.18717532],
[0.20098039 1.12651816],[0.67320261 0.79260662],[0.0996732 0.2137496],
[0.85620915 0.71172839],[0.01143791 0.41478976],[0.50163399 0.10976331],
[0.00816993 1.02022106],[0.87254902 0.04159452],[0.86928105 0.64702581],
[0.0245098  0.35008718],[0.76797386 0.91276856],[0.86601307 1.25245711],
[0.02124183 0.95551848],[0.88235294 0.58232323],[0.78104575 0.84806598],
[0.22058824 0.20450637],[0.21732026 0.80993767],[0.58823529 0.74176888],
[0.23366013 0.13980379],[0.58496732 1.34720017],[0.23039216 0.74523509],
[0.12908497 1.01097783],[0.60130719 0.6770663 ],[0.59803922 1.28249759],
[0.42647059 0.59965428],[0.89869281 0.26574274],[0.79738562 0.53148549],
[0.79411765 1.13691679],[0.43954248 0.5349517 ],[0.33823529 0.80069444],
[0.91176471 0.20104016],[0.81045752 0.46678291],[0.80718954 1.0722142 ],
[0.70588235 1.33795695],[0.35130719 0.73599186],[0.82352941 0.40208033],
[0.34803922 1.34142316],[0.24673203 0.4286546 ],[0.14215686 1.29982864],
[0.15849673 0.62969476],[0.64869281 0.32466831],[0.15522876 1.23512606],
[0.52614379 1.16695727],[0.17156863 0.56499218],[0.16830065 1.17042348],
[0.92810458 1.06297098],[0.46895425 0.15366863],[0.36764706 0.41941138],
[0.83986928 0.08549984],[0.36437908 1.02484267],[0.83660131 0.69093114],
[0.00980392 0.42287758],[0.73529412 0.95667388],[0.38071895 0.35470879],
