[0.9086758  1.11070654],[0.73515982 0.81688592],[0.543379   1.31089202],
[0.36986301 1.0170714 ],[0.20700152 0.49938744],[0.65753425 1.33672241],
[0.03348554 0.20556681],[0.00456621 1.21725688],[0.97108067 0.30458329],
[0.11872146 1.24308726],[0.60578387 0.50476877],[0.8934551  0.82441978],
[0.24048706 0.70495425],[0.35464231 0.73078463],[0.47640791 0.19265162],
[0.92694064 1.02998659],[0.59056317 0.218482  ],[0.87519026 0.19803295],
[0.22526636 0.41866749],[0.05175038 0.12484686],[0.98934551 0.22386333],
[0.70776256 1.29151924],[0.79756469 0.71786944],[0.62404871 0.42404882],
[0.16894977 1.19788409],[0.57838661 0.97940209],[0.40487062 0.68558146],
[0.49467275 0.11193167],[0.2130898  1.17958757],[0.03957382 0.88576694],
[0.97716895 0.98478342],[0.32724505 1.20541795],[0.61187215 1.1849689 ],
[0.27549467 0.37346431],[0.7260274  1.21079928],[0.36073059 1.41098476],
[0.847793   0.67266627],[0.67427702 0.37884564],[0.96194825 0.69849665],
[0.30898021 0.57903112],[0.14611872 0.06134716],[0.59665145 0.89868213],
[0.23135464 1.09886762],[0.05783866 0.80504699],[0.54490107 0.06672849],
[0.99543379 0.90406346],[0.8325723 0.3863795],[0.65905632 0.09255888],
[0.46727549 0.58656499],[0.29375951 0.29274436],[0.01217656 1.36040026],
[0.77625571 1.16559611],[0.86605784 0.59194632],[0.4109589  1.36578159],
[0.24809741 0.84809763],[0.82039574 1.14729959],[0.64687976 0.85347896],
[0.28158295 1.05366444],[0.56925419 1.37331545],[0.3957382  1.07949483],
[0.88280061 0.34117633],[0.0304414  1.27968031],[0.51750381 0.54136181],
[0.96803653 1.37869678],[0.34398782 0.24754119],[0.152207   0.74154729],
[0.91628615 0.54674314],[0.26636225 0.76737768],[0.75342466 0.02905918],
[0.38812785 0.22924466],[0.83866058 1.06657963],[0.6651446  0.77275901],
[0.50228311 0.25507505],[0.29984779 0.97294449],[0.1369863  0.45526053],
[0.90106545 0.26045638],[0.6194825  1.32811228],[0.53576865 0.46064186],
[0.08066971 1.23447714],[0.85540335 0.81580965],[0.31659056 0.72217451],
[0.40639269 0.14852471],[0.88888889 1.02137646],[0.52359209 1.22156194],
[0.18721461 0.41005736],[0.63774734 1.24739233],[0.01369863 0.11623673],
[0.95129376 0.21525321],[0.75951294 0.70925931],[0.58599696 0.41543869],
[0.02587519 0.06242343],[0.87366819 0.7350897 ],[0.22070015 0.61562417],
[0.50837139 0.93527518],[0.3348554  0.64145455],[0.14307458 1.13546066],
[0.456621   0.10332154],[0.90715373 0.94065651],[0.25722983 1.16129105],
[0.57077626 0.12915192],[0.20547945 0.3293374 ],[0.68797565 1.20218915],
[0.77777778 0.62853936],[0.32267884 1.40237464],[0.0761035  0.01722026],
[0.9238965  0.68988652],[0.16133942 1.05474071],[0.19025875 0.04305064],
[0.5585997  0.89007201],[0.38508371 0.59625138],[0.47488584 0.02260159],
[0.01978691 0.79643686],[0.95738204 0.89545334],[0.30745814 1.11608787],
