[0.21732026 0.30964807],[0.91176471 0.50606662],[0.3872549  1.38648388],
[0.51633987 0.37550605],[0.09313725 0.46100589],[0.62418301 0.55574896],
[0.20098039 0.6412488 ],[0.89542484 0.83766735],[0.98202614 1.03061969],
[0.47875817 0.71981622],[0.07679739 0.79260662],[0.58660131 0.90005912],
[0.16339869 0.98555896],[0.85784314 1.18197751],[0.96568627 1.36222042],
[0.4624183  1.05141695],[0.9869281  0.17099968],[0.03921569 1.13691679],
[0.57026144 1.23165985],[0.59150327 0.04043911],[0.14705882 1.31715969],
[0.16830065 0.12593895],[0.67810458 0.23339145],[0.27614379 0.30618186],
[0.84803922 1.31022727],[0.97058824 0.50260041],[0.97712418 0.29924944],
[0.55392157 0.38474928],[0.02941176 1.26516654],[0.66176471 0.56499218],
[0.15849673 0.25418871],[0.23856209 0.65049202],[0.93954248 0.6435596 ],
[0.5375817  0.71635001],[0.22222222 0.98209275],[0.12091503 0.59849888],
[0.41339869 0.86770783],[0.22875817 0.77874178],[0.92320261 0.97516033],
[0.5        1.06066017],[0.10457516 0.93009961],[0.62908497 0.04968234],
[0.79901961 1.12651816],[0.7369281  0.22992524],[0.90686275 1.30676106],
[0.48366013 1.3922609 ],[0.32026144 0.11207411],[0.6127451  0.38128307],
[0.08823529 1.26170034],[0.69934641 0.57423541],[0.19607843 0.26343194],
[0.36601307 1.34026776],[0.30392157 0.44367484],[0.99836601 0.64009339],
[0.5751634  0.72559323],[0.17973856 0.59503267],[0.87418301 0.79145122],
[0.96078431 0.98440356],[0.55882353 1.05719396],[0.05555556 0.74639049],
[0.56535948 0.85384299],[0.14215686 0.93934283],[0.83660131 1.13576138],
[0.7745098  0.23916847],[0.94444444 1.31600429],[0.44117647 1.00520082],
[0.37908497 0.1086079 ],[0.01797386 1.09070066],[0.54901961 1.18544372],
[0.12581699 1.27094356],[0.65686275 0.18717532],[0.25490196 0.25996573],
[0.82679739 1.26401114],[0.4248366  1.33680155],[0.76470588 0.36741823],
[0.94934641 0.45638428],[0.34150327 0.45291807],[0.00816993 1.21895042],
[0.13071895 0.41132355],[0.64052288 0.51877605],[0.21732026 0.60427589],
[0.91176471 0.80069444],[0.51633987 0.67013388],[0.09313725 0.75563372],
[0.62418301 0.85037678],[0.0996732  0.55228275],[0.20098039 0.93587662],
[0.20751634 0.73252565],[0.90196078 0.9289442 ],[0.47875817 1.01444404],
[0.41666667 0.11785113],[0.58660131 1.19468695],[0.60784314 0.00346621],
[0.08333333 0.88388348],[0.19117647 1.06412638],[0.71568627 0.18370911],
[0.88562092 1.26054493],[0.29248366 0.26920895],[0.4624183  1.34604477],
[0.29901961 0.06585798],[0.99346405 0.26227653],[0.59150327 0.33506694],
[0.06699346 1.21548421],[0.67810458 0.52801928],[0.15359477 1.40843655],
[0.1748366  0.21721581],[0.28267974 0.39745871],[0.97712418 0.59387726],
[0.55392157 0.6793771 ],[0.66176471 0.85962001],[0.15849673 0.54881654],
[0.26633987 0.72905944],[0.93954248 0.93818743],[0.5375817  1.01097783],
[0.54411765 0.80762686],[0.12091503 0.8931267 ],[0.64542484 0.01270944],
[0.75326797 0.19295234],[0.22875817 1.07336961],[0.92320261 1.26978816],
[0.35784314 0.06239177],[0.52777778 1.13922759],[0.10457516 1.22472743],
[0.61437908 1.33217993],[0.63562092 0.14095919],[0.23366013 0.2137496 ],
[0.7369281  0.52455307],[0.40359477 1.29058542],[0.74346405 0.3212021 ],
[0.32026144 0.40670194],[0.61928105 0.47255992],[0.19607843 0.55805976],
[0.72712418 0.65280283],[0.30392157 0.73830267],[0.99836601 0.93472122],
[0.60294118 0.80416065],[0.17973856 0.88966049],[0.87418301 1.08607904],
[0.68954248 0.99711299],[0.96078431 1.27903138],[0.05555556 1.04101832],
[0.39542484 0.071635  ],[0.56535948 1.14847082],[0.0620915  0.83766735],
[0.14215686 1.23397066],[0.69444444 0.13749299],[0.16993464 1.01791025],
[0.86437908 1.2143288 ],[0.27124183 0.22299282],[0.80228758 0.31773589],
[0.44117647 1.29982864],[0.37908497 0.40323573],[0.95098039 1.40728114],
[0.04575163 1.16926808],[0.65686275 0.48180315],[0.25490196 0.55459355],
[0.13235294 1.36222042],[0.76470588 0.66204605],[0.26143791 0.35124258],
[0.34150327 0.74754589],[0.95588235 0.54766113],[0.64052288 0.81340388],
[0.1372549  0.50260041],[0.24509804 0.68284331],[0.51633987 0.9647617 ],
[0.45424837 0.06816879],[0.62418301 1.14500461],[0.0996732  0.84691057],
[0.20751634 1.02715348],[0.73202614 0.14673621],[0.90196078 1.22357203],
[0.33660131 0.01617565],[0.50653595 1.09301146],[0.08333333 1.1785113 ],
[0.60784314 0.29809404],[0.59313725 1.2859638 ],[0.71568627 0.47833694],
[0.19117647 1.35875421],[0.2124183  0.16753347],[0.29901961 0.36048581],
[0.99346405 0.55690436],[0.59150327 0.62969476],[0.59803922 0.42634379],
[0.1748366  0.51184363],[0.70588235 0.6065867 ],[0.28267974 0.69208654],
[0.97712418 0.88850509],[0.58169935 0.75794452],[0.15849673 0.84344436],
[0.66830065 0.95089686],[0.26633987 1.02368727],[0.79084967 0.14327   ],
[0.93954248 1.23281525],[0.37418301 0.02541887],[0.54411765 1.10225469],
[0.12091503 1.18775453],[0.65196078 1.28249759],[0.67320261 0.09127686],
[0.22875817 1.36799743],[0.25      0.1767767],[0.78104575 0.27151976],
[0.35784314 0.3570196 ],[0.92973856 1.36106501],[0.0245098  1.12305195],
[0.11111111 1.31600429],[0.63562092 0.43558702],[0.23366013 0.50837742],
[0.74346405 0.61582993],[0.24019608 0.30502645],[0.32026144 0.70132977],
[0.61928105 0.76718775],[0.72712418 0.94743065],[0.22385621 0.63662718],
[0.30392157 1.03293049],[0.31045752 0.82957952],[0.43300654 0.02195266],
[0.60294118 1.09878848],[0.68954248 1.29174082],[0.71078431 0.10052008],
[0.18627451 0.98093735],[0.81862745 0.28076299],[0.98856209 1.3575988 ],
[0.42320261 0.15020242],[0.0620915  1.13229517],[0.         0.23570226],
[0.16993464 1.31253808],[0.69444444 0.43212081],[0.80228758 0.61236372],
[0.44771242 1.3911055 ],[0.38562092 0.49451259],[0.65686275 0.77643098],
[0.76470588 0.95667388],[0.26143791 0.64587041],[0.95588235 0.84228896],
[0.56045752 0.71172839],[0.64052288 1.1080317 ],[0.1372549  0.79722823],
[0.64705882 0.90468073],[0.76960784 0.09705387],[0.24509804 0.97747114],
[0.85620915 0.29000621],[0.52287582 1.05603856],[0.46078431 0.15944565],
[0.0996732 1.1415384],[0.63071895 1.23628146],[0.0375817  0.24494549],
[0.20751634 1.3217813 ],[0.75980392 0.22530363],[0.33660131 0.31080347],
[0.90849673 1.31484888],[0.50653595 1.38763929],[0.84640523 0.41825597],
[0.08986928 1.26978816],[0.2124183  0.46216129],[0.02777778 0.37319525],
[0.72222222 0.5696138 ],[0.29901961 0.65511364],[0.99346405 0.85153219],
[0.59803922 0.72097162],[0.1748366  0.80647146],[0.70588235 0.90121453],
[0.20261438 0.59041105],[0.28267974 0.98671436],[0.28921569 0.78336339],
[0.98366013 0.97978195],[0.58169935 1.05257235],[0.92156863 0.08318903],
[0.66830065 1.24552469],[0.26633987 1.31831509],[0.2875817  0.12709436],
[0.16503268 0.93472122],[0.79738562 0.23454686],[0.27287582 1.11496412],
[0.96732026 1.31138267],[0.37418301 0.3200467 ],[0.54411765 1.39688251],
[0.67320261 0.38590468],[0.14869281 1.26632195],[0.78104575 0.56614759],
[0.27777778 0.25534412],[0.36437908 0.44829646],[0.63562092 0.73021485],
[0.74346405 0.91045775],[0.24019608 0.59965428],[0.34803922 0.77989719],
[0.61928105 1.06181558],[0.72712418 1.24205848],[0.74836601 0.05083774],
[0.62581699 0.85846461],[0.22385621 0.93125501],[0.83496732 0.24379008],
[0.31045752 1.12420735],[0.60294118 1.3934163 ],[0.43954248 0.11322952],
[0.60947712 1.19006533],[0.01633987 0.19872936],[0.18627451 1.27556517],
[0.73856209 0.1790875 ],[0.81862745 0.57539081],[0.31535948 0.26458734],
[0.48529412 1.34142316],[0.8251634  0.37203984],[0.42320261 0.44483025],
[0.         0.53033009],[0.00653595 0.32697912],[0.70098039 0.52339767],
[0.80228758 0.90699154],[0.80882353 0.70364057],[0.38562092 0.78914041],
[0.68464052 0.8549984 ],[0.26143791 0.94049824],[0.95588235 1.13691679],
[0.56045752 1.00635622],[0.9003268 0.0369729],[0.49836601 0.10976331],
[0.1372549  1.09185606],[0.64705882 1.19930856],[0.24509804 1.27209896],
[0.25163399 1.06874799],[0.77614379 0.18833073],[0.94607843 1.26516654],
[0.35294118 0.27383057],[0.88398693 0.36857363],[0.52287582 1.35066638],
[0.46078431 0.45407347],[0.12745098 1.22010582],[0.75980392 0.51993146],
[0.23529412 1.40034872],[0.25653595 0.20912799],[0.33660131 0.6054313 ],
[0.84640523 0.7128838 ],[0.34313725 0.40208033],[0.02777778 0.66782307],
[0.72222222 0.86424162],[0.21895425 0.55343815],[0.32679739 0.73368106],
[0.95915033 0.03350669],[0.59803922 1.01559945],[0.53594771 0.11900653],
[0.70588235 1.19584235],[0.20261438 0.88503888],[0.81372549 0.19757395],
[0.28921569 1.07799122],[0.98366013 1.27440977],[0.58169935 1.34720017],
[0.92156863 0.37781686],[0.41830065 0.06701339],[0.58823529 1.1438492 ],
[0.16503268 1.22934904],[0.27287582 1.40959195],[0.29411765 0.21837121],
[0.79738562 0.52917468],[0.40196078 0.39861412],[0.67320261 0.68053251],
[0.78104575 0.86077541],[0.67973856 0.47718154],[0.27777778 0.54997194],
[0.7875817  0.65742444],[0.36437908 0.74292428],[0.99673203 0.04274992],
[0.66339869 0.80878227],[0.24019608 0.89428211],[0.77124183 0.98902517],
[0.87254902 0.19410774],[0.34803922 1.07452501],[0.47712418 0.06354718],
[0.05392157 0.14904702],[0.62581699 1.15309243],[0.22385621 1.22588283],
[0.73366013 1.33333534],[0.75490196 0.1421146 ],[0.33169935 0.22761444],
[0.8627451 0.3223575],[0.43954248 0.40785734],[0.04411765 0.27729678],
[0.73856209 0.47371533],[0.31535948 0.55921517],[0.8251634  0.66666767],
[0.42320261 0.73945807],[0.32189542 0.3558642 ],[0.00653595 0.62160694],
[0.70098039 0.81802549],[0.80882353 0.9982684 ],[0.30555556 0.68746493],
[0.38562092 1.08376824],[0.51470588 0.0727904 ],[0.68464052 1.14962622],
[0.18137255 0.83882275],[0.26797386 1.03177509],[0.79248366 0.15135782],
[0.56045752 1.30098405],[0.9003268  0.33160073],[0.49836601 0.40439113],
[0.37581699 1.212018  ],[0.39705882 0.02079726],[0.50490196 0.20104016],
[0.08169935 0.28654   ],[0.77614379 0.48295855],[0.25163399 1.36337582],
[0.88398693 0.66320146],[0.38071895 0.35239799],[0.46732026 0.54535033],
[0.75980392 0.81455928],[0.25653595 0.50375581],[0.84640523 1.00751162],
[0.34313725 0.69670815],[0.02777778 0.9624509 ],[0.64215686 0.76256614],
[0.72222222 1.15886945],[0.21895425 0.84806598],[0.75       0.94280904],
[0.85130719 0.14789161],[0.32679739 1.02830888],[0.95915033 0.32813452],
[0.45588235 0.01733105],[0.03267974 0.10283089],[0.60457516 1.1068763 ],
[0.20261438 1.17966671],[0.54248366 0.21028339],[0.7124183  1.28711921],
[0.28921569 1.37261905],[0.84150327 0.27614137],[0.92156863 0.67244468],
[0.41830065 0.36164121],[0.02287582 0.23108065],[0.71732026 0.4274992 ],
[0.29411765 0.51299904],[0.80392157 0.62045154],[0.40196078 0.69324194],
[0.67973856 0.77180936],[0.27777778 0.84459977],[0.7875817  0.95205227],
[0.28431373 0.6412488 ],[0.36437908 1.03755211],[0.49346405 0.02657427],
[0.66339869 1.10341009],[0.77124183 1.283653  ],[0.34803922 1.36915284],
[0.36928105 0.1779321 ],[0.18464052 0.08896605],[0.24673203 0.98555896],
[0.35457516 1.16580187],[0.87908497 0.2853846 ],[0.47712418 0.358175  ],
[0.48366013 0.15482403],[0.06045752 0.24032387],[0.75490196 0.43674242],
[0.23039216 1.31715969],[0.8627451  0.61698533],[0.35947712 0.30618186],
[0.44607843 0.4991342 ],[0.04411765 0.5719246 ],[0.73856209 0.76834315],
[0.8251634  0.96129549],[0.32189542 0.65049202],[0.42973856 0.83073493],
[0.00653595 0.91623477],[0.70098039 1.11265332],[0.80882353 1.29289622],
[0.30555556 0.98209275],[0.83006536 0.10167548],[0.9379085  0.28191839],
[0.01143791 0.05661476],[0.18137255 1.13345058],[0.52124183 0.16406726],
[0.11928105 0.23685766],[0.69117647 1.24090308],[0.26797386 1.32640292],
[0.82026144 0.22992524],[0.9003268  0.62622855],[0.39705882 0.31542508],
[0.56699346 1.3922609 ],[0.50490196 0.49566799],[0.00163399 0.18486452],
[0.08169935 0.58116783],[0.88398693 0.95782928],[0.78267974 0.57423541],
[0.38071895 0.64702581],[0.89052288 0.75447831],[0.46732026 0.83997815],
[0.25653595 0.79838364],[0.07189542 0.70941759],[0.76633987 0.90583614],
[0.34313725 0.99133598],[0.64215686 1.05719396],[0.98202614 0.08781065],
[0.58006536 0.16060105],[0.21895425 1.1426938 ],[0.75       1.23743687],
[0.32679739 1.32293671],[0.16339869 0.04274992],[0.85784314 0.23916847],
[0.45588235 0.31195887],[0.33333333 1.11958574],[0.96568627 0.41941138],
[0.60457516 1.40150413],[0.54248366 0.50491121],[0.03921569 0.19410774],
[0.20915033 1.27094356],[0.14705882 0.37435065],[0.84150327 0.5707692 ],
[0.41830065 0.65626904],[0.02287582 0.52570847],[0.71732026 0.72212702],
[0.53267974 0.63316097],[0.80392157 0.91507936],[0.40849673 0.7845188 ],
[0.67973856 1.06643719],[0.61764706 0.16984428],[0.7875817  1.24668009],
[0.28431373 0.93587662],[0.22222222 0.03928371],[0.91666667 0.23570226],
[0.39215686 1.11611953],[0.66339869 1.39803792],[0.5        0.11785113],
[0.09803922 0.19064153],[0.66993464 1.19468695],[0.24673203 1.28018679],
[0.18464052 0.38359387],[0.87908497 0.58001243],[0.48366013 0.44945186],
[0.06045752 0.5349517 ],[0.75490196 0.73137025],[0.76143791 0.52801928],
[0.35947712 0.60080968],[0.8627451  0.91161315],[0.86928105 0.70826218],
[0.44607843 0.79376202],[0.04411765 0.86655243],[0.05065359 0.66320146],
[0.74509804 0.85962001],[0.32189542 0.94511985],[0.85294118 1.03986291],
[0.25980392 0.04852694],[0.42973856 1.12536275],[0.95424837 0.24494549],
[0.96078431 0.04159452],[0.03431373 0.99480219],[0.55882353 0.11438492],
[0.72875817 1.19122074],[0.13562092 0.19988476],[0.30555556 1.27672058],
[0.81535948 1.38417308],[0.83660131 0.19295234],[0.43464052 0.26574274],
[0.94444444 0.37319525],[0.52124183 0.45869509],[0.01797386 0.14789161],
[0.12581699 0.32813452],[0.82026144 0.52455307],[0.39705882 0.61005291],
[0.92810458 0.70479597],[0.50490196 0.79029581],[0.00163399 0.47949234],
[0.10947712 0.65973525],[0.78267974 0.86886323],[0.38071895 0.94165364],
[0.89052288 1.04910614],[0.3872549  0.73830267],[0.46732026 1.13460598],
[0.59640523 0.12362815],[0.07189542 1.00404541],[0.76633987 1.20046396],
[0.89542484 0.18948613],[0.37091503 1.0699034 ],[0.64215686 1.35182179],
[0.45751634 1.26285574],[0.47875817 0.071635  ],[0.07679739 0.1444254 ],
[0.98202614 0.38243847],[0.58006536 0.45522888],[0.58660131 0.25187791],
[0.16339869 0.33737775],[0.85784314 0.5337963 ],[0.96568627 0.7140392 ],
[0.4624183  0.40323573],[0.03921569 0.48873557],[0.57026144 0.58347863],
[0.14705882 0.66897847],[0.84150327 0.86539702],[0.02287582 0.8203363 ],
[0.71732026 1.01675485],[0.53267974 0.9277888 ],[0.72385621 0.81340388],
[0.83169935 0.99364678],[0.23856209 0.00231081],[0.93300654 0.19872936],
[0.40849673 1.07914662],[0.5375817  0.06816879],[0.0130719  0.94858606],
[0.70751634 1.14500461],[0.11437908 0.15366863],[0.28431373 1.23050445],
[0.22222222 0.33391154],[0.79411765 1.33795695],[0.91666667 0.53033009],
[0.39215686 1.41074735],[0.41339869 0.21952662],[0.92320261 0.32697912],
[0.5        0.41247896],[0.09803922 0.48526936],[0.10457516 0.28191839],
[0.79901961 0.47833694],[0.90686275 0.65857985],[0.48366013 0.74407968],
[0.08823529 0.61351912],[0.76143791 0.8226471 ],[0.35947712 0.89543751],
[0.86928105 1.00289001],[0.36601307 0.69208654],[0.44607843 1.08838985],
